#CODE	ENGLISH	ENGLISH
d_connacht_adj	Connachtian	Connachtian
d_leinster_adj	Leinsterian	Leinsterian
d_munster_adj	Munsterian	Munsterian
d_ulster_adj	Ulsterian	Ulsterian
d_argyll_adj	Argyllian	Argyllian
d_lothian_adj	Lothian	Lothian
d_galloway_adj	Gallowayan	Gallowayan
d_northumberland_adj	Northumbrian	Northumbrian
d_nikaea_adj	Nikaean	Nikaean
d_gelre_adj	Gelrian	Gelrian
d_ryazan_adj	Ryazanian	Ryazanian
d_bulgar_adj	Bulgarian	Bulgarian
d_mazandaran_adj	Mazandarian	Mazandarian
d_moray_adj	Moray	Moray
d_meath_adj	Meathian	Meathian
d_deheubarth_adj	Deheubarthian	Deheubarthian
d_brunswick_adj	Brunswickian	Brunswickian
d_dauphine_adj	Dauphinian	Dauphinian
#d_aquitaine_adj	Aquitainian	Aquitainian
d_valois_adj	Valoisaine	Valoisaine
d_constantine_adj	Constantinian	Constantinian
d_abbasid_adj	Abbasid	Abbasid
d_balearic_adj	Balearic	Balearic
d_bergen_adj	Bergener	Bergener
d_bordeaux_adj	Bordeauxian	Bordeauxian
d_gilan_adj	Gilani	Gilani
FE_CREATE_GAME	Create Game	Create Game
HOST_DESC	Host the Game so others can join\nYou will not be able to change the starting date or savegame after you have hosted	Host the Game so others can join\nYou will not be able to change the starting date or savegame after you have hosted
DEATH_BY_MURDER_NO_KILLER	was murdered	was murdered
DEATH_EXECUTION_NO_KILLER	was executed	was executed
DEATH_DUNGEON_NO_KILLER	died in prison	died in prison
DEATH_DUEL_NO_KILLER	was slain in personal combat	was slain in personal combat
EVTOPTB3335	[Root.Liege.GetTitledFirstName] will be fine	[Root.Liege.GetTitledFirstName] will be fine
plot_weaken_fellow_vassal_title	See the [This.GetFullName] granted to a new ruler	See the [This.GetFullName] granted to a new ruler
plot_weaken_fellow_vassal_desc	Weaken the power base of [This.Holder.GetTitledName] by dividing [This.Holder.GetHerHis] holdings and granting the [This.GetFullName] to one of [This.Holder.GetHerHis] vassals.	Weaken the power base of [This.Holder.GetTitledName] by dividing [This.Holder.GetHerHis] holdings and granting the [This.GetFullName] to one of [This.Holder.GetHerHis] vassals.
plot_weaken_fellow_vassal_decision	[Root.GetPlot]	[Root.GetPlot]
plot_weaken_fellow_vassal_decision_desc	Put the plot into motion by sending an ultimatum to [Root.PlotTarget.GetTitledName].	Put the plot into motion by sending an ultimatum to [Root.PlotTarget.GetTitledName].
plot_weaken_fellow_vassal_decision_liege	Seek the backing of [Root.TopLiege.GetTitledFirstName].	Seek the backing of [Root.TopLiege.GetTitledFirstName].
plot_weaken_fellow_vassal_decision_liege_desc	Seek the backing of [Root.TopLiege.GetTitledFirstName] in dividing the holdings of [Root.PlotTarget.GetTitledName] by sending [Root.TopLiege.GetHerHim] a letter. If the [Root.TopLiege.GetTitle] does not support the plot, it will likely be leaked at court...	Seek the backing of [Root.TopLiege.GetTitledFirstName] in dividing the holdings of [Root.PlotTarget.GetTitledName] by sending [Root.TopLiege.GetHerHim] a letter. If the [Root.TopLiege.GetTitle] does not support the plot, it will likely be leaked at court...
