#CODE	ENGLISH
create_aragon_desc	I can begin a new era in these lands by founding the Kingdom of Aragon.
create_portugal_desc	I can begin a new era in these lands by founding the Kingdom of Portugal.
create_castille_desc	I can begin a new era in these lands by founding the Kingdom of Castille.
EVTDESC_39617	To the [GetFromRootCompliment] [Root.GetTitledFirstName],\n\nOur Liege, the [GetRootFromCompliment] [From.GetTitledNameWithNick] has, in [From.GetHerHis] great wisdom, decided to adopt the [From.Religion.GetName] faith. As [From.GetHerHis] [From.GetLordSpiritualName], I would suggest that you consider doing the same.\n\nIn service of [From.Religion.GetRandomGodName],\n[convert_lord_spiritual.GetBestName], [From.GetLordSpiritualName] of  [From.PrimaryTitle.GetName]
EVTOPTA_39617	Very well, I shall embrace this new faith!
EVTOPTB_39617	No, I will stand by [Root.Religion.GetRandomGodName]!
EVTOPTC_39617	I spit on your gods!
EVTDESC62923	[From.GetDynName] has founded a new [From.PrimaryTitle.GetTier] in Spain, and now rules supreme over [From.PrimaryTitle.GetName]!
EVTDESC62925	[From.GetDynName] has founded a new [From.PrimaryTitle.GetTier] in Spain, and now rules supreme over [From.PrimaryTitle.GetName]!
EVTDESC62927	[From.GetDynName] has founded a new [From.PrimaryTitle.GetTier] in Spain, and now rules supreme over [From.PrimaryTitle.GetName]!
EVTDESC62921	[From.GetDynName] has decided to found the [From.PrimaryTitle.GetTier] of León. The ancient [From.PrimaryTitle.GetTier] of Asturias is no more!
SM_CONTEXTSOUND	Dynamic Ambient Sounds
BUILD_FORT_DESC	Forts can be built in any counties that you control, as well as in hostile provinces where you have troops present. They cost §Y$COST$§!¤ to build. Forts lock down your occupation of empty nomad provinces and negate the crushing Attrition penalty suffered in some Pagan homelands.
POPULATION_EFFECT_SCALED	$DIRECTION$ $VALUE$ of Population
DISBAND_SUBUNIT	Disband Regiment
CONFIRM_DISBAND_TITLE_SUBUNIT	Do you wish to dismiss this regiment?
create_aragon	Create Aragon
create_portugal	Create Portugal
create_castille	Create Castille
EVTTOOLTIP72035	[This.GetTitledFirstName] is notified about the fate of your opponent.
MERCHANT_REPUBLICS_CANNOT_MOVE_CAPITAL	Merchant Republics are not allowed to change Capital, unless they are moving it to a city in a province with a port from a province without a port
PRESTIGE_LAW_PASSED_SETUP	Law Instituted
GOV_BUILD_WITH_PIETY_DESC	Uses Piety to build $HOLDINGS_LIST$ Holdings
GOVERNMENT_VASSALS_LESS_THAN	Have less than §Y$NUM$§! §Y$GOVERNMENT$§! vassals
GOVERNMENT_VASSALS_AT_LEAST	Have at least §Y$NUM$§! §Y$GOVERNMENT$§! vassals
FEATURES	Features
HINT_SPLASH_2_INTRO	You are playing a [Culture.GetName] [Religion.GetName] [PrimaryTitle.GetRulerTitle]!
UNSELECT_CHAR	Unselect Character
tribal_governments_FEATURES	§Y*§! Can reform to Feudal, Iqta and Merchant Republic governments
nomadic_governments_FEATURES	§Y*§! Can reform to Feudal, Iqta and Merchant Republic governments\n§Y*§! Can pillage settlements to gain wealth and technology\n§Y*§! Can abandon provinces to gain increased population and manpower growth
GOVERNMENT_UNLOCKS	Governments unlocked: 
REVOKE_TITLE_INTERACTION_2G	Our $GOVERNMENT$ administration allows us to revoke §Y$TIER$§! titles without objections from the aristocracy.
IS_DIVINE_BLOOD	The §Y$DYNASTY$§! Dynasty is of Divine Blood
IS_NOT_DIVINE_BLOOD	The §Y$DYNASTY$§! Dynasty is NOT of Divine Blood
SET_DIVINE_BLOOD	The §Y$DYNASTY$§! Dynasty is now considered of Divine Blood\n
UNSET_DIVINE_BLOOD	The §Y$DYNASTY$§! Dynasty is no longer considered of Divine Blood\n
AIREASON_AMBITION	Ambition
b_kroran	Krorän
b_endere	Endere
b_dandan_uilik	Dandan-Uiliq
b_korla	Korla
b_shanguo	Shanguo
b_turfan	Turfan
b_tashkurgan	Tashkurgan
b_yecheng	Yecheng
b_mazar	Mazar
b_jiaohe	Jiaohe
b_guma	Guma
b_wensu	Wensu
b_xayar	Xayar
b_danhuan	Danhuan
b_wutanzili	Wutanzili
b_huhu	Huhu
b_loulan	Loulan
b_kargan	Kargan
b_ruoqiang	Ruoqiang
b_mocheng	Mocheng
b_zuomo	Zuomo
b_yuling	Yuling
b_jingjue	Jingjue
b_jiandu	Jiandu
b_shangwangguo	Shangwangguo
b_xiuxun	Xiuxun
b_wulei	Wulei
b_bay	Bay
b_toqsu	Toqsu
b_awat	Awat
b_kelpin	Kelpin
b_fukang	Fukang
b_qiemi	Qiemi
b_balikun	Balikun
b_qian_pulei	Qian Pulei
b_hou_pulei	Hou Pulei
b_yulishi	Yulishi
b_karghalik	Karghalik
b_weixu	Weixu
b_weili	Weili
b_weitou	Weitou
CHRONICLE_ADOPTED_FEUDALISM	[From.GetDynName] adopted a feudal system in [From.GetHerHis] domains, abandoning the old tribal ways.
b_poskam	Poskam
b_yopurga	Yopurga
b_atush	Atush
b_akto	Akto
b_ulugqat	Ulugqat
b_uqturpan	Uqturpan
b_aral	Aral
b_qira	Qira
b_yeyik	Yeyik
b_sutang	Sutang
b_lop	Lop
b_merdek	Merdek
b_yuni	Yuni
b_tiemenguan	Tiemenguan
b_qigexing	Qigexing
b_kizil	Kizil
b_subashi	Subashi
b_kumtura	Kumtura
b_bezeklik	Bezeklik
b_astana	Astana
b_manas	Manas
b_changjo	Changjo
b_kara_koshun	Kara-Koshun
b_lopnor	Lopnor
b_shanshan	Shanshan
b_kumtag	Kumtag
b_yingpan	Yingpan
b_yiwu	Yiwu
b_dahe	Dahe
b_piqan	Piqan
b_yanghai	Yanghai
b_toyuq	Toyuq
b_nanhu_tarim	Nanhu
b_fangpan	Fangpan
b_mogao	Mogao
b_yueyaquan	Yueyaquan
b_hongliuwan	Hongliuwan
b_xuanquanzhi	Xuanquanzhi
b_yumenquan	Yumenquan
b_xingcheng	Xingcheng
b_yuanquan	Yuanquan
b_yulin	Yulin
b_suoyang	Suoyang
b_mazongshan	Mazongshan
b_changji	Changji
b_xincheng	Xincheng
ANSWER_YES	Yes.
ANSWER_NO	No.
b_yumen	Yumen
CHRONICLE_FOUNDED_MERCHANT_REPUBLIC	[From.GetDynName] founded a merchant republic in [From.GetHerHis] domains, abandoning the old tribal ways.
nomadic_emperor_female	Khatun
nomadic_king_female	Khanum
e_chagatai	Chagatai
FACTIONS_MENU	§YFactions§!
CLANS_MENU	§YClans§!
THE_REPUBLIC_MENU	§YThe Republic§!
STAT_WEALTH_MENU	§YWealth§!
STAT_PRESTIGE_MENU	§YPrestige§!
STAT_PIETY_MENU	§YPiety§!
STAT_PIETY_MENU_HONOR	§YHonor§!
STAT_PIETY_MENU_KARMA	§YKarma§!
STAT_PIETY_MENU_PURITY	§YPurity§!
STAT_DEMESNE_SIZE_MENU	§YDemesne Size§!
STAT_VASSAL_LIMIT_MENU	§YVassal Limit§!
STAT_REALM_SIZE_MENU	§YRealm Size§!
STAT_SCORE_MENU	§YScore§!
STAT_POPULATION_MENU	§YPopulation§!
STAT_MANPOWER_MENU	§YManpower§!
TECHNOLOGY	Technology
LAW	Laws
MILITARY	Military
INTRIGUE	Intrigue
DEMESNE_INTERFACE_LABEL	§YDemesne§!
TRADE_INTERFACE_LABEL	§YTrade§!
FORTS_INTERFACE_LABEL	§YForts§!
SIEGES_INTERFACE_LABEL	§YSieges§!
ENEMY_SIEGES_INTERFACE_LABEL	§YHostile Sieges§!
COMBATS_INTERFACE_LABEL	§YLand Combat§!
ARMIES_INTERFACE_LABEL	§YArmies§!
NAVIES_INTERFACE_LABEL	§YNavies§!
MESSAGERULES_INTERFACE_LABEL	§YMessage Rules§!
SPECIAL_INTEREST_CHARACTERS_INTERFACE_LABEL	§YCharacters of Special Interest§!
OL_COURT_INTERFACE_LABEL	§YCourt§!
OL_MP_PLAYERLIST_INTERFACE_LABEL	§YPlayers in Multiplayer§!
OL_DISABLED_ALERTS_INTERFACE_LABEL	§YDisabled Alerts§!
MESSWINDOW_HIGHPRIO_INTERFACE_LABEL	§YHigh Priority Messages§!
MESSWINDOW_LOWPRIO_INTERFACE_LABEL	§YLow Priority Messages§!
FC_FIND_CHARACTERS_INTERFACE_LABEL	§YFind Characters§!
MAIN_MENU_INTERFACE_LABEL	§YMain Menu§!
ZOOM_IN_INTERFACE_LABEL	§YZoom in§!
ZOOM_OUT_INTERFACE_LABEL	§YZoom out§!
HOME_INTERFACE_LABEL	§YGo to Home Province§!
LEDGER_MENU_INTERFACE_LABEL	§YLedger§!
LOGGER_MENU_INTERFACE_LABEL	§YMessage Log§!
FIND_PROVINCE_INTERFACE_LABEL	§YFind Title or Region§!
OPEN_CHRONICLE_INTERFACE_LABEL	§YOpen Chronicle§!
DYNASTYTREE_INTERFACE_LABEL	§YDynasty Tree§!
FAMILYTREE_INTERFACE_LABEL	§YFamily Tree§!
REALM_TREE_INTERFACE_LABEL	§YRealm Tree§!
b_qinggil	Qinggil
b_koktokay	Koktokay
b_burqin	Burqin
b_burultokay	Burultokay
b_kokagax	Kokagax
b_jeminay	Jeminay
b_beshbalik	Beshbalik
b_gucheng	Gucheng
b_mori	Mori
b_jiangjunmiao	Jiangjunmiao
b_zyryan	Zyryan
b_oskemen	Öskemen
b_urunkhayka	Urunkhayka
b_kurchum	Kurchum
b_uryl	Uryl
b_turan	Turan
b_chadaana	Chadaana
b_ulala	Ulala
b_ulagan	Ulagan
b_sayan	Sayan
b_khori_tumed	Khori-Tümed
b_kyren	Kyren
b_kutulik	Kutulik
b_tulun	Tulun
b_korya	Korya
b_semey	Semey
b_aqsw	Aqsw
b_ekibastuz	Ekibastuz
b_ertis	Ertis
b_koktobe	Koktobe
