#CODE	ENGLISH	ENGLISH
seize_trade_post_desc	As a Patrician, §Y$CLAIMANT$§! can declare war on §Y$TARGET$§! over the §Y$TITLE$§!. This Casus Belli is not valid against much weaker Patricians within the same Republic.	As a Patrician, §Y$CLAIMANT$§! can declare war on §Y$TARGET$§! over the §Y$TITLE$§!. This Casus Belli is not valid against much weaker Patricians within the same Republic.
opinion_rival_republic	Rival Republic	Rival Republic
EVTDESC_REP_070	The merchants running one of your Trade Posts have abandoned their allegiance to your dynasty! They now serve one of the patrician families in the newly born Hansa, claiming that the upstart trade league affords them better opportunities to profit.	The merchants running one of your Trade Posts have abandoned their allegiance to your dynasty! They now serve one of the patrician families in the newly born Hansa, claiming that the upstart trade league affords them better opportunities to profit.
EVTOPTA_REP_070	Ingrates!	Ingrates!
PATRICIAN_DEMESNE_BONUS	Patrician	Patrician
CANT_BUILD_TRADEPOST_OTHERREP	Is not owned by other Merchant Republic	Is not owned by other Merchant Republic
opinion_royal_marriage	Marriage Ties	Marriage Ties
AIREASON_REPUBLICS_REFUSE_REVOKE	Merchant Republics will not give up titles	Merchant Republics will not give up titles
INTERACTION_CAN_AFFORD_THE_COST	Can afford the cost of $COST$¤	Can afford the cost of $COST$¤
INTERACTION_RECIPIENT_NOT_EMBARGOING	§Y[Recipient.GetTitledFirstName]§! is not already embargoing §Y[ThirdPartyCharacter.GetTitledFirstName]§!	[Recipient.GetTitledName] is not already embargoing [ThirdPartyCharacter.GetTitledName]
INTERACTION_RECIPIENT_NOT_TRUCE	§Y[Recipient.GetTitledFirstName]§! does not have a truce with §Y[ThirdPartyCharacter.GetTitledFirstName]§!	[Recipient.GetTitledName] does not have a truce with [ThirdPartyCharacter.GetTitledName]
INTERACTION_ACTOR_NOT_TRUCE	§Y[Actor.GetTitledFirstName]§! does not have a truce with §Y[ThirdPartyCharacter.GetTitledFirstName]§!	[Actor.GetTitledName] does not have a truce with [ThirdPartyCharacter.GetTitledName]
AIREASON_PRIMARY_IN_WARS	Primary participant in a war	Primary participant in a war
AIREASON_MINOR_IN_WARS	Minor participant in a war	Minor participant in a war
ASK_TO_EMBARGO_INTERACTION_TITLE	Ask to Embargo	Ask to Embargo
