#CODE	ENGLISH	ENGLISH
HAS_NOT_LOVER	Does not have a lover	Does not have a lover
HAS_LOVER	Has Lover	Has Lover
FAM_IN_LAWS	Marriage Ties	Marriage Ties
REL_LOVER	Lover	Lover
TRIGGER_LOVER	Lover	Lover
BREAK_AFFAIR_EFFECT	$WHO$ breaks up with §Y$SPOUSE$§W.\n	$WHO$ breaks up with §Y$SPOUSE$§W.\n
ADD_LOVER_EFFECT	$WHO$ falls in love with §Y$SPOUSE$§W.\n	$WHO$ falls in love with §Y$SPOUSE$§W.\n
EVTDESC3315	I wake up screaming in the night. The darkness scares me, and I keep wondering how I will last through this campaign.	I wake up screaming in the night. The darkness scares me, and I keep wondering how I will last through this campaign.
EVTOPTA3315	I think someone heard me	I think someone heard me
EVTOPTB3315	My soldiers will not respect me.	My soldiers will not respect me.
EVTDESC60004	The Great Khagan has sent more warriors to aid our conquest!	The Great Khagan has sent more warriors to aid our conquest!
EVTOPTA40021	I will grant [From.GetObjectPronoun] a claim on the perpetrator's titles.	I will grant [From.GetObjectPronoun] a claim on the perpetrator's titles.
#DECLARE_WAR_INTERACTION_0	Breaking the Truce (ends on §Y$DATE$§!) would cost us §R$PRESTIGE$§! Prestige and lower all [Recipient.Religion.GetGroupName] rulers' opinion of us by §R$OPINION$§!	Breaking the Truce (ends on §Y$DATE$§!) would cost us §R$PRESTIGE$§! Prestige and lower all [Recipient.Religion.GetGroupName] rulers' opinion of us by §R$OPINION$§!
SETTLEMENT_YOUNGER_THAN	Holding less than $AGE$ years old.\n	Holding less than $AGE$ years old.\n
SETTLEMENT_AT_LEAST	Holding is at least $AGE$ years old.\n	Holding is at least $AGE$ years old.\n
AIREASON_IS_GUARDIANS_CHILD	Guardian is the parent of §Y[GetTitledFirstName]§!	Guardian is the parent of §Y[GetTitledFirstName]§!
RELEASE_FROM_PRISON_INTERACTION_0	Release §Y[Recipient.GetBestName]§! from prison.	Release §Y[Recipient.GetBestName]§! from prison.
RELEASE_FROM_PRISON_INTERACTION_1	Your vassals will think you merciful, increasing their opinion of you by §G$VAL$§!.	Your vassals will think you merciful, increasing their opinion of you by §G$VAL$§!.
TITLED_NAME_W_NICK	$TITLE$ $NAME$ '$NICK$' of $HOLDING$	$TITLE$ $NAME$ '$NICK$' of $HOLDING$
city_contract_0_desc	The Burghers are expected to provide half their troops for the defense of the realm.	The Burghers are expected to provide half their troops for the defense of the realm.
city_contract_1_desc	The Burghers are expected to provide the majority of their troops for the defense of the realm.	The Burghers are expected to provide the majority of their troops for the defense of the realm.
city_contract_2_desc	The Burghers are expected to provide almost all their troops for the defense of the realm.	The Burghers are expected to provide almost all their troops for the defense of the realm.
city_contract_3_desc	The Burghers are expected to provide all but a tiny part of their troops for the defense of the realm.	The Burghers are expected to provide all but a tiny part of their troops for the defense of the realm.
obj_become_chancellor_title	Become [This.GetChancellorName]	Become [This.GetChancellorName]
obj_become_marshal_title	Become [This.GetMarshalName]	Become [This.GetMarshalName]
obj_become_treasurer_title	Become [This.GetTreasurerName]	Become [This.GetTreasurerName]
obj_become_spymaster_title	Become [This.GetSpymasterName]	Become [This.GetSpymasterName]
obj_become_spiritual_title	Become [This.GetLordSpiritualName]	Become [This.GetLordSpiritualName]
awesome_charge_tactic	Powerful Charge Tactic	Powerful Charge Tactic
awesomer_charge_tactic	Overwhelming Charge Tactic	Overwhelming Charge Tactic
romanian	Vlach	Vlach
#ca_keep_5	Great Keep	Great Keep
#ca_keep_6	Epic Keep	Epic Keep
#ca_training_grounds_2	Large Training Grounds	Large Training Grounds
#ca_barracks_1	Guard Quarters	Guard Quarters
#ca_barracks_2	Small Barracks	Small Barracks
#ca_barracks_3	Medium Barracks	Medium Barracks
#ca_barracks_4	Large Barracks	Large Barracks
#ca_barracks_5	Great Barracks	Great Barracks
#ca_barracks_6	Royal Barracks	Royal Barracks
#ca_stable_1	Small Stable	Small Stable
#ca_stable_2	Medium Stable	Medium Stable
#ca_stable_3	Large Stable	Large Stable
#ca_stable_4	Great Stable	Great Stable
#ca_stable_5	Royal Stable	Royal Stable
#ca_town_1	Castle Village	Castle Village
ca_town_1	Castle Town	Castle Town
ca_town_2	Castle Town	Castle Town
ca_town_3	Castle Town	Castle Town
ca_town_4	Castle Town	Castle Town
ca_town_5	Castle Town	Castle Town
ca_town_6	Castle Town	Castle Town
#ca_town_3	Castle City	Castle City
#ca_town_4	Large Castle City	Large Castle City
#ca_town_5	Great Castle City	Great Castle City
#ca_culture_saxon_english_1	Simple Long Bow Range	Simple Long Bow Range
#ca_culture_scottish_1	Small Schiltron Training Ground	Small Schiltron Training Ground
#ca_culture_scottish_2	Medium Schiltron Training Ground	Medium Schiltron Training Ground
#ca_culture_scottish_3	Large Schiltron Training Ground	Large Schiltron Training Ground
#ca_culture_scottish_4	Great Schiltron Training Ground	Great Schiltron Training Ground
#ca_culture_group_iberian_4	Great Cabellero Training Ground	Great Cabellero Training Ground
#ca_culture_group_altaic_1	Small Riding Grounds	Small Riding Grounds
#ca_culture_group_altaic_2	Medium Riding Grounds	Medium Riding Grounds
#ca_culture_group_altaic_3	Large Riding Grounds	Large Riding Grounds
#ca_culture_group_altaic_4	Great Riding Grounds	Great Riding Grounds
#ca_culture_italian_4	Great Pike Training Ground	Great Pike Training Ground
#ca_culture_russian_4	Great Druzhina Training Ground	Great Druzhina Training Ground
#ct_training_grounds_6	Great Militia Training Grounds	Great Militia Training Grounds
#ct_guard_1	City Guard Quarters	City Guard Quarters
#ct_guard_2	Small City Barracks	Small City Barracks
#ct_guard_3	Medium City Barracks	Medium City Barracks
#ct_guard_4	Large City Barracks	Large City Barracks
#ct_guard_5	Great City Barracks	Great City Barracks
#ct_guard_6	Huge City Barracks	Huge City Barracks
tp_barracks_1	Militia Quarters	Militia Quarters
tp_barracks_2	Militia Quarters	Militia Quarters
tp_barracks_3	Militia Quarters	Militia Quarters
tp_barracks_4	Militia Quarters	Militia Quarters
tp_barracks_5	Militia Quarters	Militia Quarters
tp_barracks_6	Militia Quarters	Militia Quarters
#tp_barracks_2	Small Church Militia Grounds	Small Church Militia Grounds
#tp_barracks_3	Medium Church Militia Grounds	Medium Church Militia Grounds
#tp_barracks_4	Large Church Militia Grounds	Large Church Militia Grounds
#tp_barracks_5	Great Church Militia Grounds	Great Church Militia Grounds
#tp_barracks_6	Huge Church Militia Grounds	Huge Church Militia Grounds
#tp_elite_barracks_1	Church Guard Quarters	Church Guard Quarters
#tp_elite_barracks_2	Small Church Barracks	Small Church Barracks
#tp_elite_barracks_3	Medium Church Barracks	Medium Church Barracks
#tp_elite_barracks_4	Large Church Barracks	Large Church Barracks
#tp_elite_barracks_5	Great Church Barracks	Great Church Barracks
#tp_elite_barracks_6	Huge Church Barracks	Huge Church Barracks
#tp_town_1	Church Village	Church Village
#k_andalusia	Al-Andalus	Al-Andalus
k_andalusia_adj	Andalusian	Andalusian
DIFFRATING_0	Impossible	Impossible
DIFFRATING_10	Almost Impossible	Almost Impossible
DIFFRATING_20	Very Hard	Very Hard
DIFFRATING_30	Hard	Hard
DIFFRATING_40	Relatively Hard	Relatively Hard
DIFFRATING_50	Normal	Normal
DIFFRATING_60	Relatively Easy	Relatively Easy
DIFFRATING_70	Easy	Easy
DIFFRATING_80	Very Easy	Very Easy
DIFFRATING_90	Too Easy	Too Easy
DIFFRATING_100	Pointless	Pointless
WAR_NAME_OTHER_CLAIM	$ORDER$$FIRST_ADJ$ War for $CLAIMANT$'s claim on $OTHER_TITLE$	$ORDER$$FIRST_ADJ$ War for $CLAIMANT$'s claim on $OTHER_TITLE$
WAR_NAME_OTHER_DEJURECLAIM	$ORDER$$FIRST_ADJ$ Ducal War for $CLAIMANT$'s claim on $OTHER_TITLE$	$ORDER$$FIRST_ADJ$ Ducal War for $CLAIMANT$'s claim on $OTHER_TITLE$
WAR_NAME_OTHER_DEJUREBARONYCLAIM	$ORDER$$FIRST_ADJ$ County War for $CLAIMANT$'s claim on $OTHER_TITLE$	$ORDER$$FIRST_ADJ$ County War for $CLAIMANT$'s claim on $OTHER_TITLE$
WAR_NAME_OTHER_SUCCESSION	$ORDER$$FIRST_ADJ$ War to install $CLAIMANT$ in $SECOND$	$ORDER$$FIRST_ADJ$ War to install $CLAIMANT$ in $SECOND$
IS_NOT_DE_JURE_LIEGE_OR_ABOVE	Is NOT de jure liege or above	Is NOT de jure liege or above
IS_DE_JURE_LIEGE_OR_ABOVE	Is de jure liege or above	Is de jure liege or above
MAXIMUM_RAISABLE_LEVY	Levy at disposal due to laws: §Y$VALUE$%§!	Levy at disposal due to laws: §Y$VALUE$%§!
LEVY_PERC_DESC	We are allowed to raise the top §Y$PERC$%§W of the levy	We are allowed to raise the top §Y$PERC$%§W of the levy
#LEVY_PERC_DESC3	$THEM$ reserves §Y$PERC$%§! of each troop type as personal guard	$THEM$ reserves §Y$PERC$%§! of each troop type as personal guard
RAISABLE_AMOUNT_LEVY	Due to laws(§Y$MAX$%§!) and opinion(§Y$OPINION$%§!), we can raise §Y$PERCENT$%§! of the levy	Due to laws(§Y$MAX$%§!) and opinion(§Y$OPINION$%§!), we can raise §Y$PERCENT$%§! of the levy
MINIMUM_RAISABLE_LEVY	However, we are always allowed to raise at least §Y$PERCENT$%§! of the levy	However, we are always allowed to raise at least §Y$PERCENT$%§! of the levy
AI_WE_ARE_TOTALLY_BEATEN	We are totally beaten'	We are totally beaten'
AI_THIS_IS_GOOD_FOR_US	The best I can hope for'	The best I can hope for'
AI_WE_ARE_WINNING_SMALL	Things are certainly going my way'	Things are certainly going my way'
AI_WE_ARE_WINNING_BIG	I've already won, give up now and I'll spare your life'	I've already won, give up now and I'll spare your life'
AI_WE_ARE_LOSING_SMALL	Come on, you pansy!'	Come on, you pansy!'
AI_WE_ARE_LOSING	It's just a flesh wound!'	It's just a flesh wound!'
AI_WE_ARE_LOSING_BIG	I'm losing, but won't give up yet...'	I'm losing, but won't give up yet...'
AIREASON_OUR_PRISONER	Is our prisoner	Is our prisoner
CREATING_PROVINCE	Creating Counties	Creating Provinces
LEDGER_OUR_CLAIMANTS	Our Claimants	Our Claimants
LEDGER_CLAIMS	Claims	Claims
LEDGER_HEADER_VASSALS	Your Direct Vassals	Your Direct Vassals
LEDGER_HEADER_ALL_VASSALS	All Vassals In Realm	All Vassals In Realm
LEDGER_HEADER_COURTIERS	Your Court	Your Court
LEDGER_COUNCILLOR	Councillor	Councillor
