#CODE	ENGLISH	ENGLISH
EVTDESC6350	As I was lying in my bed at night I was suddenly woken by the hissing and growling of my favorite cat. The bedchamber was alive with scratching, scurrying noises, coming from the very walls themselves. I sprang from the bed, but the noises suddenly disappeared and a subsquent investigation of the chamber revealed nothing but patched stone walls.	As I was lying in my bed at night I was suddenly woken by the hissing and growling of my favorite cat. The bedchamber was alive with scratching, scurrying noises, coming from the very walls themselves. I sprang from the bed, but the noises suddenly disappeared and a subsquent investigation of the chamber revealed nothing but patched stone walls.
EVTOPTA6350	Could there be rats in the walls?	Could there be rats in the walls?
EVTOPTB6350	Just a dream, nothing more	Just a dream, nothing more
EVTDESC6351	The servant I had sent to fetch water never returned and when I went to investigate I noticed a strange light emanating from the well. I peered inside and saw a color like no color I had ever seen before. It was like smoke, cold and wet but burning my skin where it touched.	The servant I had sent to fetch water never returned and when I went to investigate I noticed a strange light emanating from the well. I peered inside and saw a color like no color I had ever seen before. It was like smoke, cold and wet but burning my skin where it touched.
EVTOPTA6351	That color is not from this earth!	That color is not from this earth!
EVTOPTB6351	The well must have gone bad	The well must have gone bad
EVTDESC6352	I had repeatedly questioned my servant about the locked mausoleum beneath the castle but it wasn't until today that I found the key, hidden inside a rotting chest in the oldest castle tower. Inside the tomb's dusty passageways I found an empty stone coffin which bore the inscription '[Root.GetFirstName] [Root.GetOnlyDynastyName]'.	I had repeatedly questioned my servant about the locked mausoleum beneath the castle but it wasn't until today that I found the key, hidden inside a rotting chest in the oldest castle tower. Inside the tomb's dusty passageways I found an empty stone coffin which bore the inscription '[Root.GetFirstName] [Root.GetOnlyDynastyName]'.
EVTOPTA6352	This coffin looks comfortable to sleep in	This coffin looks comfortable to sleep in
EVTOPTB6352	Well, that was morbid... seal the tomb!	Well, that was morbid... seal the tomb!
EVTDESC6353	An old cottar and his wife who were known for their cruelty to cats were found dead in their home this morning, their bones picked clean of meat. My steward tells me that the local townspeople had their cats go missing the day before, but all the missing cats returned today looking fat and happy...	An old cottar and his wife who were known for their cruelty to cats were found dead in their home this morning, their bones picked clean of meat. My steward tells me that the local townspeople had their cats go missing the day before, but all the missing cats returned today looking fat and happy...
EVTOPTA6353	Pass a law banning the killing of cats	Pass a law banning the killing of cats
EVTOPTB6353	A coincidence, nothing more	A coincidence, nothing more
EVTTOOLTIP6354	Somewhere, a dreamer stirs...	Somewhere, a dreamer stirs...
EVTDESC6354	Since the incident some weeks ago I have felt uneasy. I took a walk along the coast to clear my mind and found a small village where the people claimed to worship the 'Old Ones', Gods older than even those of the [Root.Religion.GetName] faith. They invited me to join in their rituals and showed me a dusty old grimoire written by a mad Saracen.	Since the incident some weeks ago I have felt uneasy. I took a walk along the coast to clear my mind and found a small village where the people claimed to worship the 'Old Ones', Gods older than even those of the [Root.Religion.GetName] faith. They invited me to join in their rituals and showed me a dusty old grimoire written by a mad Saracen.
EVTOPTA6354	I must study this grimoire	I must study this grimoire
EVTTOOLTIP6355	[Root.GetBestName] learns the forbidden secrets	[Root.GetBestName] learns the forbidden secrets
EVTDESC6355	Intense study of the grimoire has gained me much knowledge. I have devised a ritual to awaken the most powerful of the Old Ones where he sleeps, dead but dreaming, in his watery tomb beneath the ocean. The cult has prepared the ritual attire and is gathering the necessary sacrifices.	Intense study of the grimoire has gained me much knowledge. I have devised a ritual to awaken the most powerful of the Old Ones where he sleeps, dead but dreaming, in his watery tomb beneath the ocean. The cult has prepared the ritual attire and is gathering the necessary sacrifices.
EVTOPTA6355	Tonight, he will wake!	Tonight, he will wake!
EVTTOOLTIP6356	[Root.GetBestName] puts on a black robe and wizened old hat	[Root.GetBestName] puts on a black robe and wizened old hat
EVTDESC6356	The cult has gathered for the ritual on the shore of a black and stormy sea. The chanting begins, Ph'nglui mglw'nafh..., and in the depths of the dark waters something stirs...	The cult has gathered for the ritual on the shore of a black and stormy sea. The chanting begins, Ph'nglui mglw'nafh..., and in the depths of the dark waters something stirs...
EVTOPTA6356	He comes! HE COMES!	He comes! HE COMES!
EVTOPTB6356	What have I done?! I must stop this!	What have I done?! I must stop this!
EVTTOOLTIP6357	[Root.GetBestName] commandeers a longboat	[Root.GetBestName] commandeers a longboat
EVTDESC6357	I steered the longboat through the raging waters towards the monstrous creature. It stood as tall as a castle tower, with the body of a man and the head of a great tentacled beast. I knew that I had awoken it from where it slept beneath the waves and that it was here to end the age of man. There was only one thing I could do...	I steered the longboat through the raging waters towards the monstrous creature. It stood as tall as a castle tower, with the body of a man and the head of a great tentacled beast. I knew that I had awoken it from where it slept beneath the waves and that it was here to end the age of man. There was only one thing I could do...
EVTOPTA6357	Ramming speed!	Ramming speed!
EVTTOOLTIP6358	A fateful collision...	A fateful collision...
EVTDESC6358	I awoke in my own bed weak and sweating. The servants told me that they had found me on the shore, naked and half-drowned. I asked them about the creature and the ship but they just looked at me with worried eyes and shook their heads. It seems I am the only living witness to these events.	I awoke in my own bed weak and sweating. The servants told me that they had found me on the shore, naked and half-drowned. I asked them about the creature and the ship but they just looked at me with worried eyes and shook their heads. It seems I am the only living witness to these events.
EVTOPTA6358	I must put them to print	I must put them to print
EVTOPTB6358	Fools! I saved you all!	Fools! I saved you all!
LOWER_RELATIVE_POWER	Army is less than §Y$VAL$%§W of §Y$OTHER$§W.	Army is less than §Y$VAL$%§W of §Y$OTHER$§W.
HIGHER_RELATIVE_POWER	Army is at least §Y$VAL$%§W of §Y$OTHER$§W.	Army is at least §Y$VAL$%§W of §Y$OTHER$§W.
TRIBAL_TITLE_DESTROYED_SETUP	Tribal Title Abandoned	Tribal Title Abandoned
TRIBAL_TITLE_DESTROYED_LOG	The formal title '§Y$TITLE$§!' has been abandoned.	The formal title '§Y$TITLE$§!' has been abandoned.
TRIBAL_TITLE_DESTROYED_LETTER	There is no reason to formally use the title '§Y$TITLE$§!' anymore - it sounds primitive and shall henceforth be abandoned.	There is no reason to formally use the title '§Y$TITLE$§!' anymore - it sounds primitive and shall henceforth be abandoned.
killed_an_old_one	Godslayer	Godslayer
alert_can_reform_religion_name	§YReligion can be Reformed§!	§YReligion can be Reformed§!
alert_can_reform_religion_instant	§YReligion can be Reformed§!	§YReligion can be Reformed§!
alert_can_reform_religion_delayed	The §Y$RELIGION$§! faith can be reformed into an organized religion	The §Y$RELIGION$§! faith can be reformed into an organized religion
HOLYSITE_CONTROL_OURS	The Holy Site of §Y$SITENAME$§! is completely under the control of §Y$RELIGION$§!	The Holy Site of §Y$SITENAME$§! is completely under the control of §Y$RELIGION$§!
HOLYSITE_CONTROL_PARTIAL	The Holy Site of §Y$SITENAME$§! is held by a member of §Y$RELIGION$§!, but is a vassal of another religion	The Holy Site of §Y$SITENAME$§! is held by a member of §Y$RELIGION$§!, but is a vassal of another religion
HOLYSITE_CONTROL_NOT	The Holy Site of §Y$SITENAME$§! is not held by a member of §Y$RELIGION$§!	The Holy Site of §Y$SITENAME$§! is not held by a member of §Y$RELIGION$§!
HOLYSITE_LOCATION	The Holy Site of §Y$SITENAME$§! is located in the county of §Y$COUNTY$§!	The Holy Site of §Y$SITENAME$§! is located in the county of §Y$COUNTY$§!
INTERACTION_REQUIRES_NO_LOOTING_HOSTILITY	We cannot declare war on §Y[Recipient.GetTitledFirstName]§! while we are raiding them	We cannot declare war on §Y$RECIPIENT$§! while we are raiding them
FROM_ATTRIBUTES	From Attributes: §G+$AMOUNT$§!	From Attributes: §G+$AMOUNT$§!
HOLY_SITES_LESS	Does NOT control at least §Y$VAL$§W holy sites\n	Welcome to The Old Gods!
HOLY_SITES_LEAST	Controls at least §Y$VAL$§W holy sites\n	Playing as a Pagan in 'The Old Gods' is quite different from playing as a Christian or Muslim ruler. This Hint screen will explain the fundamentals of pagan gameplay, which is useful to know even for Crusader Kings II veterans.
MAJOR_RIVER_SHORT	Crossing of the Major River §Y$RIVER$§! to §Y$TO$§!	Conquest is much easier for pagan rulers - you can subjugate all other pagans and conquer neigbouring counties at will. The seafaring Norse have the added option of taking any coastal county, and can declare 'Prepared Invasions' in which restless bands of adventurers may join the ranks in hopes of plunder and glory.\nTake care, however, for keeping your realm together is far more difficult for Pagans - vassals are more likely to join independence factions, and can win such wars easier. Pagan vassals are also more sceptical of new rulers, which can cause problems until you prove yourself worthy. Pagan realms are prone to grow quickly and then break apart as generations pass.
MAJOR_RIVER_DESC	When attacking over a Major River, the attacking army will get a significant combat penalty	Pagans are not as centralized as Christian and Muslim rulers and are therefore limited to low Crown Authority and the Gavelkind succession law.\nHowever, a powerful and pious Pagan ruler who controls enough Holy Sites can Reform their religion so that it is better able to compete with the monotheistic faiths.\nThe reformer creates or becomes the new religious head of the reformed religion, and all faithful rulers gain the ability to wage Holy Wars. The restrictions on Crown Authority and Succession Laws are lifted and it becomes easier to manage large realms - independence factions will be less potent and vassals will be more accepting of the new ruler on succession.
RETCAP_FROM_REALM	From Realm: §G$REALM$§!\n   Holdings: §Y$HOLDINGS$§!\n   Cap per Holding: §Y$PERHOLDING$§!\n	As a Pagan male, you are able to take up to 3 Concubines in addition to your wife. However, these women will not add to your stats or provide alliances. You can gain Concubines through diplomacy or by simply taking any imprisoned woman as your Concubine.
