#CODE	ENGLISH
TOOLTIP_DISALLOW_TRUE_COGNATIC	Disallows Absolute Cognatic succession laws\n
TOOLTIP_ALLOW_TRUE_COGNATIC	Allows Absolute Cognatic succession laws\n
#TOOLTIP_ALLOW_ADDITIONAL_SUCCESSION_LAWS	Allows additional succession laws\n
#TOOLTIP_DISALLOW_ADDITIONAL_SUCCESSION_LAWS	Disallows additional succession laws\n
opinion_powerful_vassal_not_voter	Wants Seat on the Council
REQUEST_SUPPORT_INTERACTION_TITLE	Request Council Support
ASK_TO_DECLARE_WAR_INTERACTION_TITLE	Ask to Press Claims
change_council_job_desc	If you think that §Y[Root.GetTitledName]§! is better suited for another job on the council you can exchange [Root.GetHerHis] current council job for another one.
IS_AFFECTED_BY_AN_ACTIVE_REALM_PEACE	Is being affected by an active Realm Peace.
IS_NOT_AFFECTED_BY_AN_ACTIVE_REALM_PEACE	Is NOT being affected by an active Realm Peace.
#alert_high_infamy_instant	§YHigh Infamy§!
#alert_high_infamy_delayed	With §YInfamy§! over §Y25%§! you risk having a coalition forming against you! It will decline slowly over time but you can manually lower it by granting independence to non-dejure land.
#RELEASE_VASSAL_INTERACTION_0	Grant Independence to §Y[Recipient.GetTitledFirstName]§W. [Recipient.GetSubjectPronounCap] will be duly grateful (§G+$OPINION$§! Opinion, §G$INFAMY$%§! Infamy)
#GRANT_LANDED_TITLE_INTERACTION_6	Grant the §Y[ThirdPartyTitle.GetFullName]§W and all titles under it to §Y[Recipient.GetTitledFirstName]§W, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§! and lower your infamy by §G$INFAMY$%§!.
#GRANT_LANDED_TITLE_INTERACTION_1	Grant the §Y[ThirdPartyTitle.GetFullName]§W to §Y[Recipient.GetTitledFirstName]§W, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§! and lower your infamy by §G$INFAMY$%§!.
horse_death	horsing around
AIREASON_EXPANDING_HORDE	Too busy conquering the world and you're next: 
HAS_LIEGE_ENFORCED_PEACE	$LIEGE|Y$ has enforced peace.
HAS_LIEGE_ENFORCED_PEACE_NOT	$LIEGE|Y$ has not enforced peace.
WILL_LIEGE_ENFORCE_PEACE	$LIEGE|Y$ will enforce peace.
WILL_LIEGE_ENFORCE_PEACE_NOT	$LIEGE|Y$ will not enforce peace.
INTERACTION_TYRANNY_AGAINST_COUNCIL	§RGoing against the will of The Council will be viewed as an act of tyranny!§!
FORCE_JOIN_FACTION_INTERACTION_TITLE	Ask to Join Factions
FORCE_JOIN_FACTION_INTERACTION_DESC	Spend a §YFavor§! to force §Y[Recipient.GetTitledFirstName]§! to join your factions.
FORCE_JOIN_FACTION_INTERACTION_LONG_DESC	You can spend the §YFavor§! §Y[Recipient.GetTitledFirstName]§! owes you to have them join the factions you started.
FORCE_JOIN_FACTION_INTERACTION_LETTER	\nTo return the favor you owe me, I request you join the factions I have started.
FORCE_JOIN_FACTION_INTERACTION_LETTER_GET	\nJoin my factions.
FORCE_JOIN_FACTION_INTERACTION_ACCEPT_LOG	§Y[Actor.GetBestName]§! used a favor on §Y[Recipient.GetBestName]§! to force them to join all their factions.
CAN_JOIN_FACTION	$RECIPIENT|Y$ can join $FACTION|Y$
CAN_JOIN_ONE_FACTION	$RECIPIENT|Y$ can join at least one of your factions
NOT_DISSUADED_FROM_FACTIONS	$RECIPIENT|Y$ has not been forbidden to join factions
JOIN_FACTION	§YJoin Faction§!
IS_DE_FACTO_LIEGE	Is de facto liege
LEAVE_FACTION_COERCED	Can't leave faction because you were coerced into joining
INVITE_FAVOR_MARRIED	$RECIPIENT|Y$ must not be married
INVITE_FAVOR_LIEGE_RELATIVE	$RECIPIENT|Y$ must not be a close relative of $LIEGE|Y$
INVITE_FAVOR_JOB	$RECIPIENT|Y$ must not have a Council position
AIREASON_LIEGE_HATE	Hates their liege - §Y[GetTitledName]§!
ASK_REALM_PEACE_INTERACTION_TITLE	Ask for Realm Peace
ASK_REALM_PEACE_INTERACTION_DESC	Spend a §YFavor§! to ask your liege to enforce §YRealm Peace§!.
ASK_REALM_PEACE_INTERACTION_LONG_DESC	You can spend the §YFavor§! §Y[Recipient.GetTitledFirstName]§! owes you to force them to start enforcing §YRealm Peace§!.
ASK_REALM_PEACE_INTERACTION_LETTER	\nTo return the favor you owe me, I request you start enforcing peace through the realm.
ASK_REALM_PEACE_INTERACTION_LETTER_GET	\nEnforce Realm Peace.
ASK_REALM_PEACE_INTERACTION_ACCEPT_LOG	§Y[Actor.GetBestName]§! used a favor on §Y[Recipient.GetBestName]§! to force them to enforce the §YRealm Peace§!.
ASK_COUNCIL_POSITION_INTERACTION_TITLE	Demand Council Position
