#CODE	ENGLISH	ENGLISH
MENU_BAR_GAME_CONVERT	Export Game	Export Game
MENU_BAR_GAME_CONVERT_DEL	Export game to EU4	Export game to EU4
BARBER_TOOLTIP	Go to the Barber	Go to the Barber
RENAME_TITLE_TOOLTIP	Rename Title	Rename Title
CUSTOMIZE_HOUSE_TOOLTIP	Customize House	Customize House
CUSTOMIZE_HOUSE_TOOLTIP_DISABLED	You can't customize this dynasty as you have to be top liege of all its members.	You can't customize this dynasty as you have to be top liege of all its members.
c_lappland_adj	Sápmi	Sápmi
RENAME	Rename	Rename
NAME	Name	Name
ADJECTIVE	Adjective	Adjective
POSSIBLE_PLOT_POWER	Possible Plot Power	Possible Plot Power
AUTO_INVITE_PLOTTERS	Auto Invite Plotters	Auto invite plotters
AUTO_STOP_PLOTS	Auto Stop Plots	Auto stop plots
AUTO_STOPPED_PLOT_SETUP	Plot Uncovered	Plot Uncovered
AUTO_STOPPED_PLOT_LOG	§Y$PLOTTER$§!$PLOTTERJOB$ seeks to §Y$PLOTNAME$§!.	§Y$PLOTTER$§!$PLOTTERJOB$ seeks to §Y$PLOTNAME$§!.
AUTO_STOPPED_PLOT_LETTER	I have discovered a plot where $PLOTTER$ seeks to $PLOTNAME$. I have dispatched an emissary to have him cease this at once.\n\nYour humble spymaster,\n$SPYMASTER$	I have discovered a plot where $PLOTTER$ seeks to $PLOTNAME$. I have dispatched an emissary to have him cease this at once.\n\nYour humble spymaster,\n$SPYMASTER$
AUTO_STOP_PLOT_START_SETUP	Spymaster sends messengers	Spymaster sends messengers
AUTO_STOP_PLOT_START_LOG	$SPYMASTER$ sent out messenger to stop plotters	$SPYMASTER$ sent out messenger to stop plotters
AUTO_STOP_PLOT_START_LETTER	I have sent out emissaries to all known plotters to cease immediately.\n\nYour humble spymaster,\n$SPYMASTER$	I have sent out emissaries to all known plotters to cease immediately.\n\nYour humble spymaster,\n$SPYMASTER$
siege_leader	Siege Leader	Siege Leader
siege_leader_desc	This character is skilled at leading sieges.	This character is skilled at leading sieges.
SIEGE	Siege	Siege
ADD_IP	Add IP	Add IP
REMOVE_IP	Remove IP	Remove IP
PENDING_PLOT_REQUEST	Waiting for answer.	Waiting for answer.
ACCEPTED_PLOT_REQUEST	Is backing plot.	Is backing plot.
LOADING_TIP_52	You can make selection choose fleets exclusively using the ALT key.	You can make selection choose fleets exclusively using the ALT key.
EXIT	Exit	Exit
CUT	Cut!	Cut!
#CONFIRMEXPORTTITLE	Export CK2 Game to EU4	Export CK2 Game to EU4
#CONFIRMEXPORTTEXT	The game will be exported with the name $NAME$. This might take a couple of minutes.	The game will be exported with the name $NAME$. This might take a couple of minutes.
#CONFIRMEXPORTTEXT_WARNING	The game will be exported with the name $NAME$.\n\n THIS NAME IS ALREADY IN USE!\nAre you sure you want to continue?	The game will be exported with the name $NAME$.\n\n THIS NAME IS ALREADY IN USE!\nAre you sure you want to continue?
STYLE	Style	Style
CAN_PERSUADE_TO_JOIN_PLOT	Might be persuaded with a bag of gold...	Might be persuaded with a bag of gold...
city_job_chancellor_arabic	Grand Vizier	Grand Vizier
city_job_chancellor_iranian	Grand Vizier	Grand Vizier
city_job_chancellor_turkish	Grand Vizier	Grand Vizier
city_job_chancellor_west_african	Grand Vizier	Grand Vizier
city_job_chancellor_greek	Magistros	Magistros
city_job_spymaster_greek	Mystikos	Mystikos
city_job_treasurer_greek	Sakellarios	Sakellarios
#city_job_marshal_greek	Strategos	Strategos
city_job_chancellor_aztec	Cihuacoatl	Cihuacoatl
city_job_treasurer_aztec	Petlacalcatl	Petlacalcatl
city_job_spiritual_aztec	Sahagun	Sahagun
city_job_spymaster_aztec	Tillancalqui	Tillancalqui
city_job_marshal_aztec	Tlacateccatl	Tlacateccatl
city_job_chancellor_zoroastrian_group	Astabadh	Astabadh
city_job_treasurer_zoroastrian_group	Darik-Pat	Darik-Pat
city_job_marshal_zoroastrian_group	Eran Spahbod	Eran Spahbod
city_job_spiritual_zoroastrian_group	Mobad	Mobad
city_job_spiritual_zoroastrian	Mobad	Mobad
city_job_spiritual_christian	Court Chaplain	Court Chaplain
city_job_spiritual_orthodox	Ecclesiarch	Ecclesiarch
city_job_spiritual_muslim	Court Imam	Court Imam
city_job_spiritual_shiite	Court Mullah	Court Mullah
city_job_spiritual_pagan_group	Chief Diviner	Chief Diviner
city_job_spiritual_pagan	Diviner	Diviner
city_job_spiritual_baltic_pagan	Diviner	Diviner
city_job_spiritual_baltic_pagan_reformed	Diviner	Diviner
city_job_spiritual_finnish_pagan	Diviner	Diviner
city_job_spiritual_finnish_pagan_reformed	Diviner	Diviner
city_job_spiritual_norse_pagan_reformed	Seer	Seer
city_job_spiritual_norse_pagan	Seer	Seer
city_job_spiritual_female_norse_pagan_reformed	Seeress	Seeress
city_job_spiritual_female_norse_pagan	Seeress	Seeress
city_job_spiritual_slavic_pagan	Diviner	Diviner
city_job_spiritual_slavic_pagan_reformed	Diviner	Diviner
city_job_spiritual_tengri_pagan	Diviner	Diviner
city_job_spiritual_tengri_pagan_reformed	Diviner	Diviner
EU4ConverterDLC	EUIV Converter	EUIV Converter
CustomizationPackDLC	Customization Pack	Customization Pack
