#CODE	ENGLISH	ENGLISH
PLOT_POWER_CONTRIB_LOWER_THAN	Contribution to $PLOTTER$'s plot to $PLOT$ less than §Y$POWER$%§!\n	Contribution to $PLOTTER$'s plot to $PLOT$ less than §Y$POWER$%§!\n
PLOT_POWER_CONTRIB_AT_LEAST	Contribution to $PLOTTER$'s plot to $PLOT$ at least §Y$POWER$%§!\n	Contribution to $PLOTTER$'s plot to $PLOT$ at least §Y$POWER$%§!\n
#INTERACTION_CANNOT_JOIN_VASSAL_WAR	We cannot join our vassals' wars (except for Crusades/Jihads)	We cannot join our vassals' wars (except for Crusades/Jihads)
KILLER	Killer	Killer
ANY_SPOUSE_STARTS	Any Spouse	Any Spouse
IS_MAIN_SPOUSE	Is the First Spouse	Is the First Spouse
IS_NOT_MAIN_SPOUSE	Is NOT the First Spouse	Is NOT the First Spouse
CONQUEST_CULTURE_EFFECT	Subjugated by §Y$CULTURE$§! Culture\n	Subjugated by §Y$CULTURE$§! Culture\n
CONQUEST_CULTURE_EFFECT_FREED	Freed from the §Y$CULTURE$§! yoke\n	Freed from the §Y$CULTURE$§! yoke\n
MAKE_PRIMARY_SPOUSE_EFFECT	$WHO$ is made the First Spouse of $SPOUSE$.\n	$WHO$ is made the First Spouse of $SPOUSE$.\n
MAKE_NOT_PRIMARY_SPOUSE_EFFECT	$WHO$ is no longer the First Spouse of $SPOUSE$.\n	$WHO$ is no longer the First Spouse of $SPOUSE$.\n
HAVE_CONQUEST_CULTURE	Is subjugated by §Y$CULTURE$§! Culture\n	Is subjugated by §Y$CULTURE$§! Culture\n
HAVNT_CONQUEST_CULTURE	Is NOT subjugated by §Y$CULTURE$§! Culture\n	Is NOT subjugated by §Y$CULTURE$§! Culture\n
DISMISS_ALLOW_DESCRIPTION	Can be dismissed if the following is true:\n	Can be dismissed if the following is true:\n
DIPLO_OF_POPE	Religious Head Diplomacy	Religious Head Diplomacy
INTERACTION_REQUIRES_FEWER_WIVES	§Y$CHAR$§W has fewer than §Y$NUM$§W wives	§Y$CHAR$§W has fewer than §Y$NUM$§W wives
INTERACTION_REQUIRES_NO_OTHER_MARRIAGE	§Y$CHAR$§W is unmarried	§Y$CHAR$§W is unmarried
INTERACTION_REQUIRES_NO_TRUCE_OR_REV_REASON	Must have a special revoke reason if we have a Truce	Must have a special revoke reason if we have a Truce
INTERACTION_VALID_REASON	Since you have a valid reason, no one will care.	Since you have a valid reason, no one will care.
tribal_invasion_desc	We do not need to bother with just causes - might makes right! §Y$CLAIMANT$§! can invade the lands of §Y$TARGET$§!. If successful, the titles to all currently occupied holdings will be seized and all vassals will become our vassals.	We do not need to bother with just causes - might makes right! §Y$CLAIMANT$§! can invade the lands of §Y$TARGET$§!. If successful, the titles to all currently occupied holdings will be seized and all vassals will become our vassals.
decadence_invasion_desc	We do not need to bother with just causes - might makes right! §Y$CLAIMANT$§! can invade the lands of §Y$TARGET$§!.	We do not need to bother with just causes - might makes right! §Y$CLAIMANT$§! can invade the lands of §Y$TARGET$§!.
title_food_taster	Food Taster	Food Taster
title_food_taster_desc	Food tasters have the dubious pleasure of trying all dishes before their master has a bite...	Food tasters have the dubious pleasure of trying all dishes before their master has a bite...
title_court_calligrapher	Court Calligrapher	Court Calligrapher
title_court_calligrapher_desc	Islamic suspicion of figurative art makes skilled calligraphers highly respected.	Islamic suspicion of figurative art makes skilled calligraphers highly respected.
title_court_musician	Court Musician	Court Musician
title_court_musician_desc	The Court Musician is always ready to entertain with soothing or stirring music.	The Court Musician is always ready to entertain with soothing or stirring music.
title_court_poet	Court Poet	Court Poet
title_court_poet_desc	Islamic poets enjoy a great deal of respect and prestige, often religious, but sometimes pushing the limits of what is acceptable under Islam.	Islamic poets enjoy a great deal of respect and prestige, often religious, but sometimes pushing the limits of what is acceptable under Islam.
title_chief_architect	Chief Architect	Chief Architect
title_chief_architect_desc	The Chief Architect is responsible for designing and overseeing the construction of palaces, mosques and grand monuments.	The Chief Architect is responsible for designing and overseeing the construction of palaces, mosques and grand monuments.
title_chief_qadi	Chief Qadi	Chief Qadi
title_chief_qadi_desc	The Chief Qadi is the supreme judge and authority of the Law (Sharia) in the realm. The most prestigious of all Muslim honorary titles, it is only open to characters with a proper religious education.	The Chief Qadi is the supreme judge and authority of the Law (Sharia) in the realm. The most prestigious of all Muslim honorary titles, it is only open to characters with a proper religious education.
title_court_dwarf	Court Dwarf	Court Dwarf
title_court_dwarf_desc	Dwarves are objects of fascination and curiosity. Having one at court is a matter of prestige.	Dwarves are objects of fascination and curiosity. Having one at court is a matter of prestige.
job_spiritual_muslim	Court Imam	Court Imam
job_spiritual_shiite	Court Mullah	Court Mullah
job_chancellor_iranian	Grand Vizier	Grand Vizier
job_chancellor_turkish	Grand Vizier	Grand Vizier
PROV911	Timbuktu	Timbuktu
PROV912	Aoudaghost	Aoudaghost
PROV913	Ghana	Ghana
PROV914	Gao	Gao
PROV915	Djenné	Djenné
PROV916	Taghaza	Taghaza
PROV917	Araouane	Araouane
PROV918	Sijilmasa	Sijilmasa
PROV919	Oualata	Oualata
PROV920	Ouadane	Ouadane
PROV921	Idjil	Idjil
PROV922	Tadmekka	Tadmekka
PROV923	Adrar Plateau	Adrar Plateau
PROV924	Western Sahara	Western Sahara
PROV925	Mali	Mali
PROV926	Bambuk	Bambuk
PROV927	Zarma	Zarma
PROV928	Gurma	Gurma
#TITLE_CREATION_EMPEROR_DESC	You need to control §Y$REQ_PERC$%§! of its de jure Counties to create this title. Currently, you control $PERC$ ($HELD$/§Y$ALL$§!). Creating this title would give you §G$PRESTIGE$§! Prestige and cost you §R$GOLD$§! Gold and §R$PIETY$§! $PIETYNAME$.	You need to control §Y$REQ_PERC$%§! of its de jure Counties to create this title. Currently, you control $PERC$ ($HELD$/§Y$ALL$§!). Creating this title would give you §G$PRESTIGE$§! Prestige and cost you §R$GOLD$§! Gold and §R$PIETY$§! $PIETYNAME$.
c_ifni_adj	Taroudanti	Taroudanti
c_tharasset_adj	Tamdoulti	Tamdoulti
e_persia	Persian Empire	Persian Empire
e_persia_adj	Persian	Persian
e_arabia	Arabian Empire	Arabian Empire
e_arabia_adj	Arabian	Arabian
k_volga_bulgaria	Volga Bulgaria	Volga Bulgaria
k_volga_bulgaria_adj	Volga Bulgarian	Volga Bulgarian
k_perm	Perm	Perm
k_perm_adj	Permian	Permian
k_taurica	Taurica	Taurica
k_taurica_adj	Taurican	Taurican
k_alania	Alania	Alania
k_alania_adj	Alanian	Alanian
k_khiva	Khiva	Khiva
k_khiva_adj	Khivan	Khivan
e_britannia	Britannia	Britannia
e_britannia_adj	British	British
e_spain	Hispania	Hispania
e_spain_adj	Hispanian	Hispanian
west_african	West African	West African
manden	Mandé	Mandé
k_byzantium	Greece	Greece
k_byzantium_adj	Greek	Greek
k_anatolia	Anatolia	Anatolia
k_anatolia_adj	Anatolian	Anatolian
k_ruthenia	Ruthenia	Ruthenia
k_ruthenia_adj	Ruthenian	Ruthenian
e_russia	Russia	Russia
e_russia_adj	Russian	Russian
e_scandinavia	Scandinavia	Scandinavia
e_scandinavia_adj	Scandinavian	Scandinavian
e_france	Francia	Francia
e_france_adj	French	French
mujahid	Mujahid	Mujahid
mujahid_desc	This character is a veteran of a Jihad.	This character is a veteran of a Jihad.
hajjaj	Hajajj	Hajajj
hajjaj_desc	This character has made the Hajj - the pilgrimage to Mecca.	This character has made the Hajj - the pilgrimage to Mecca.
on_hajj	On Hajj	On Hajj
on_hajj_desc	This character is on a pilgrimage to Mecca.	This character is on a pilgrimage to Mecca.
faqih	Faqih	Faqih
faqih_desc	This character is formally schooled in Islamic jurisprudence.	This character is formally schooled in Islamic jurisprudence.
hafiz	Hafiz	Hafiz
hafiz_desc	This character has completely memorized the Qur'an.	This character has completely memorized the Qur'an.
sayyid	Sayyid	Sayyid
sayyid_desc	This character is patrilineally descended from the Prophet Muhammad's uncles al-Abbas and Abu Talib, or from the sons of his daughter Fatimah - Hasan ibn Ali and Husain ibn Ali.	This character is patrilineally descended from the Prophet Muhammad's uncles al-Abbas and Abu Talib, or from the sons of his daughter Fatimah - Hasan ibn Ali and Husain ibn Ali.
mirza	Mirza	Mirza
mirza_desc	The mother of this character is a Sayyida (patrilineally descended from the Prophet Muhammad).	The mother of this character is a Sayyida (patrilineally descended from the Prophet Muhammad).
scarred	Scarred	Scarred
scarred_desc	Old wounds have left this character visibly scarred.	Old wounds have left this character visibly scarred.
pilgrim	Pilgrim	Pilgrim
pilgrim_desc	The character has completed a great pilgrimage.	The character has completed a great pilgrimage.
MUSLIM_VIEW	$TRAIT$: $VALUE$	$TRAIT$: $VALUE$
AIREASON_IS_HIGHER_RANK_SPOUSE	§Y[GetTitledFirstName]§! is my Spouse and higher ranked	§Y[GetTitledFirstName]§! is my Spouse and higher ranked
FIGHTING_ANOTHER_WAR	Busy fighting another war	§Y[GetTitledFirstName]§! must not marry an infidel
empire	Empire	Busy fighting another war
kingdom	Kingdom	Empire
duchy	Duchy	Kingdom
county	County	Duchy
barony	Barony	County
city_empire	Principality	Barony
city_kingdom	Most Serene Republic	Principality
city_duchy	Republic	Most Serene Republic
city_county	Grand City	Republic
city_barony	City	Grand City
temple_kingdom_catholic	Theocracy	City
temple_kingdom_orthodox	Patriarchate	Theocracy
temple_kingdom_muslim	Caliphate	Patriarchate
temple_kingdom_pagan_group	Theocracy	Caliphate
temple_duchy_christian	Prince-Archbishopric	Theocracy
temple_duchy_muslim	Theocracy	Prince-Archbishopric
temple_duchy_pagan_group	Theocracy	Theocracy
temple_county_christian	Prince-Bishopric	Theocracy
temple_county_muslim	Sheikhdom	Prince-Bishopric
temple_county_pagan_group	Theocracy	Sheikhdom
temple_barony_christian	Bishopric	Theocracy
temple_barony_muslim	Mosque	Bishopric
temple_barony_pagan_group	Temple	Mosque
count_arabic_female	Shaykhah	Temple
empire_altaic	Khaganate	Shaykhah
kingdom_altaic	Khanate	Khaganate
barony_arabic	Wilayah	Khanate
county_arabic	Sheikhdom	Wilayah
duchy_arabic	Emirate	Sheikhdom
kingdom_arabic	Sultanate	Emirate
barony_turkish	Timar	Sultanate
county_turkish	Beylik	Timar
duchy_turkish	Beylerbeylik	Beylik
kingdom_turkish	Sultanate	Beylerbeylik
barony_mongol	Taishi	Sultanate
county_mongol	Chiefdom	Taishi
duchy_mongol	High Chiefdom	Chiefdom
baron_west_african	Wâli	High Chiefdom
barony_of_west_african	Wilayah of	Wâli
barony_west_african	Wilayah	Wilayah of
count_west_african	Farin	Wilayah
count_female_west_african	Farina	Farin
county_of_west_african	Sheikhdom of	Farina
county_west_african	Sheikhdom	Sheikhdom of
duke_west_african	Farbas	Sheikhdom
duke_female_west_african	Farba	Farbas
duchy_of_west_african	Emirate of	Farba
duchy_west_african	Emirate	Emirate of
king_west_african	Mansa	Emirate
king_female_west_african	Sultana	Mansa
kingdom_of_west_african	Sultanate of	Sultana
kingdom_west_african	Sultanate	Sultanate of
#alert_high_decadence_instant	§YHigh Decadence§!	Sultanate
#alert_high_decadence_delayed	Your dynasty is seen as hopelessly decadent. There is a risk of a massive revolt.	§YHigh Decadence§!
PRETENDER_TO	Pretender and Claimant to the $TITLE$	Your dynasty is seen as hopelessly decadent. There is a risk of a massive revolt.
one_celibate	Pleasures in the after-life: Celibacy	Pretender and Claimant to the $TITLE$
one_hedonist	Pleasures in life: Hedonism	Pleasures in the after-life: Celibacy
opinion_adopted_foreign_ways	Adopted Foreign Ways	Pleasures in life: Hedonism
opinion_nomuslim	Not a True Believer	Adopted Foreign Ways
opinion_brother_muslim	My Brother	Not a True Believer
opinion_half_brother_muslim	My Half-Brother	My Brother
imam_appreciates	The Imams Approve	My Half-Brother
pious_imams	Money-loving Imams	The Imams Approve
unfunny_imam	Disregards Blasphemy	Money-loving Imams
NOT_ALLOWED_PLAY_LOWBORN	Not allowed to play §YLowborn§!	Disregards Blasphemy
NOT_ALLOWED_PLAY_LOWBORN_MP	§Y$PLAYER$§! not allowed to play §YLowborn§!	Not allowed to play §YLowborn§!
light_foot_leader	Light Foot Leader	§Y$PLAYER$§! not allowed to play §YLowborn§!
light_foot_leader_desc	This character has proven to be a capable commander when leading light infantry into battle.	Light Foot Leader
