#CODE	ENGLISH	ENGLISH
MODIFIER_COMBAT_RATING	Personal Combat Skill	Personal Combat Skill
GOD_THE_CREATOR	the Creator	the Creator
GOD_BRAHMA	Brahma	Brahma
GOD_SATURN	Saturn	Saturn
scholar_desc	This character leads the life of a scholar, poring over books and corresponding with the finest minds in the known world.	This character leads the life of a scholar, poring over books and corresponding with the finest minds in the known world.
HAVE_NOT_RELIGION	Is NOT	Is NOT
#alert_available_targetted_decision_instant	§YYou Can Now§!	§YYou Can Now§!
#alert_available_targetted_decision_delayed	The following Character Interactions are available:\n$LIST$	The following Character Interactions are available:\n$LIST$
EVTOPTA_WOL_2100_3	Midgets, shoes... No! [target_spy_on.GetFirstName] is having an affair with a feisty goat!	Midgets, shoes... No! [target_spy_on.GetFirstName] is having an affair with a feisty goat!
EVTOPTA_WOL_2100_5	[target_spy_on.GetSubjectPronounCap] murdered a childhood friend at the tender age of 11!	[target_spy_on.GetSubjectPronounCap] murdered a childhood friend at the tender age of 11!
EVTOPTA_WOL_2100_6	[target_spy_on.GetSubjectPronounCap] has an imaginary friend called Bappo!	[target_spy_on.GetSubjectPronounCap] has an imaginary friend called Bappo!
EVTOPTA_WOL_2100_8	[target_spy_on.GetSubjectPronounCap] leads a secret life as a prostitute in a brothel in [target_spy_on.Capital.Capital.GetName]!	[target_spy_on.GetSubjectPronounCap] leads a secret life as a prostitute in a brothel in [target_spy_on.Capital.Capital.GetName]!
EVTOPTB_WOL_2300	No, I can trust [intrigue_spymaster.GetObjectPronoun]	No, I can trust [intrigue_spymaster.GetObjectPronoun]
EVTOPTB_WOL_2071	Aha! Now I can call off my spies.	Aha! Now I can call off my spies.
EVTOPTF_WOL_2080	I see, but I think it is time to spy on someone else.	I see, but I think it is time to spy on someone else.
EVTOPTC_WOL_2100	No... I think it is time to spy on someone else.	No... I think it is time to spy on someone else.
EVTDESC_WOL_2065	I am not having much luck spying on [FromFromFrom.GetTitledFirstName]. Perhaps I should focus my efforts elsewhere?	I am not having much luck spying on [FromFromFrom.GetTitledFirstName]. Perhaps I should focus my efforts elsewhere?
EVTOPTA_WOL_2065	Yes, this is pointless.	Yes, this is pointless.
EVTOPTB_WOL_2065	No, I am sure [FromFromFrom.GetSubjectPronoun] is up to something...	No, I am sure [FromFromFrom.GetSubjectPronoun] is up to something...
EVTDESC38313	The pressures of life no longer seem so overwhelming. I am not §YStressed§! anymore!	The pressures of life no longer seem so overwhelming. I am not Stressed anymore!
EVTDESC38314	I woke up this morning with a big smile on my face. I am no longer Depressed!	I woke up this morning with a big smile on my face. I am no longer Depressed!
PICK_FOCUS_DESC	You will not be able to change Focus again for §Y$YEARS$§! years!	You will not be able to change Focus again for §Y$YEARS$§! years!
CANNOT_CANCEL	§RCannot be cancelled.§!	§RCannot be cancelled.§!
CANNOT_CANCEL_UNTIL	§RCannot be cancelled until §Y$DATE$§!§R.§!	§RCannot be cancelled until §Y$DATE$§!§R.§!
FV_CHOOSE_FOCUS	Choose Focus	Choose Focus
CANNOT_CHANGE_FOCUS_UNTIL	§RCannot change Focus until §Y$DATE$§!§R.§!	§RCannot change Focus until §Y$DATE$§!§R.§!
EVTDESC_WOL_3052	My [GetFromFromRelation], [FromFrom.GetTitledFirstNameNoRegnal], has asked me to spend some quality family time in [FromFrom.Capital.Capital.GetName]. I am sure the idea is for me to become better friends with [From.GetTitledName]...	My [GetFromFromRelation], [FromFrom.GetTitledFirstNameNoRegnal], has asked me to spend some quality family time in [FromFrom.Capital.Capital.GetName]. I am sure the idea is for me to become better friends with [From.GetTitledName]...
opinion_dishonest_duel	Dishonest Duel	Dishonest Duel
magnificent_maze	Magnificent Maze	Magnificent Maze
desc_magnificent_maze	This character's beautiful garden maze is known far beyond the realm for it's beauty.	This character's beautiful garden maze is known far beyond the realm for it's beauty.
duel_title	The Duel	The Duel
EVTOPTG_WOL_10221	[stonemason.GetSheHeCap] is not here right now. [stonemason.GetSheHeCap]'s got more important matters to deal with.	[stonemason.GetSheHeCap] is not here right now. [stonemason.GetSheHeCap]'s got more important matters to deal with.
duel_tooltip_busy	None of the duellers can be busy or fighting a war.\n	None of the duellers can be busy or fighting a war.\n
#duel_tooltip_sickness	Must be in a healthy condition.\n	Must be in a healthy condition.\n
#duel_tooltip_fought_before	Have not duelled each other before.\n	Have not duelled each other before.\n
opinion_fought_duel	Fought Duel	Fought Duel
duel_tooltip_valid_target	Is a valid duel target in your religion or culture.\n	Is a valid duel target in your religion or culture.\n
duel_tooltip_recent_duel	None of the duellers had a recent duel.\n	None of the duellers had a recent duel.\n
dishonest_duel_tooltip	This is considered dishonest and people might be upset about this act.	This is considered dishonest and people might be upset about this act.
#duel_tooltip_excommunicated	Has the trait '§YZealous§!' and target is §YExcommunicated§! in the same religion.\n	Has the trait '§YZealous§!' and target is §YExcommunicated§! in the same religion.\n
EVTOPTB_WOL_11110	No, I don't want to fight my friends.	No, I don't want to fight my friends.
is_not_ascetic	Is not an Ascetic\n	Is not an Ascetic\n
wol_duel_training	Duel Training	Duel Training
desc_wol_duel_training	This character has recently been training the arts of duelling.	This character has recently been training the arts of duelling.
