#CODE	ENGLISH	ENGLISH
FACTION_LEADER	Faction Leader	Faction Leader
FACTION_MEMBER	Faction Member	Faction Member
opinion_defeated_major_revolt	Crushed a Major Revolt	Crushed a Major Revolt
opinion_spared_after_revolt	Spared after Rebellion	Spared after Rebellion
opinion_divine_blood_marriage	Divine Marriage	Divine Marriage
opinion_non_divine_marriage	Profane Marriage	Profane Marriage
action_uncover_plots	Scheme	Scheme
miaphysite	Miaphysite	Miaphysite
monothelite	Monothelite	Monothelite
d_miaphysite	The Miaphysite Papacy	The Miaphysite Papacy
d_miaphysite_adj	Coptic Papal	Coptic Papal
COPTIC_POPE	Coptic Pope	Coptic Pope
INTERACTION_CANNOT_REVOKE_LAST_TEMPLE_OFF_REL_HEAD	Cannot revoke the last Temple Holding from your religious head	Cannot revoke the last Temple Holding from your religious head.
d_monophysite	The Monophysite Papacy	The Monophysite Papacy
d_monophysite_adj	Monophysite Papal	Monophysite Papal
MONOPHYSITE_POPE	Monophysite Pope	Monophysite Pope
d_nestorian	The Patriarchate of the East	The Patriarchate of the East
d_nestorian_adj	Eastern Patriarchal	Eastern Patriarchal
PATRIARCH_IN_THE_EAST	Patriarch of the East	Patriarch of the East
d_monothelite	The Monothelite Patriarchate	The Monothelite Patriarchate
d_monothelite_adj	Monothelite Patriarchal	Monothelite Patriarchal
MONOTHELITE_PATRIARCH	Monothelite Patriarch	Monothelite Patriarch
INTERACTION_TITLE_NOT_CONTESTED	Title cannot be the target or justification for any ongoing war	Title cannot be the target or justification for any ongoing war
AND_TRIGGER_STARTS	All of the following must be true	All of the following must be true
WAR_INVALID_LOG	$WAR$ has ended inconclusively$REASON$	$WAR$ has ended inconclusively$REASON$
WAR_INVALID_CHARACTER_UNLANDED	\n($CHARACTER$ became unlanded)	\n($CHARACTER$ became unlanded)
WAR_INVALID_LIEGE_HIERARCHY	\n(Liege Changes for $CHARACTER$)	\n(Liege Changes for $CHARACTER$)
REL_PENTARCHS_NON_ORTHODOX_DESC	The Pentarchs were the original five Patriarchs of the Christian Church. Their authority as autocephalous Patriarchs over their respective ancient sees is still recognized within the $RELIGION$ church.	The Pentarchs were the original five Patriarchs of the Christian Church. Their authority as autocephalous Patriarchs over their respective ancient sees is still recognized within the $RELIGION$ church.
PENTARCH_DESC	There is currently no $RELIGION$ Bishop of §Y$TITLE$§!	There is currently no $RELIGION$ Bishop of §Y$TITLE$§!
HEAD_NOT_PENTARCH_DESC	$REL_HEAD$ does not currently hold §Y$TITLE$§!	$REL_HEAD$ does not currently hold §Y$TITLE$§!
