#CODE	ENGLISH	ENGLISH
EVTDESC60010	The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Catholic faith!	The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Catholic faith!
EVTDESC60011	The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Orthodox faith!	The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Orthodox faith!
EVTDESC60012	The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Sunni faith!	The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Sunni faith!
EVTDESC60013	The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Shiite faith!	The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Shiite faith!
MONTHLY_PROJECTED_COST	Projected Monthly Cost: §Y$COST$§!	Projected Montly Cost: §Y$COST$§!
YEARLY_PROJECTED_COST	Projected Yearly Cost: §Y$COST$§!	Projected Yearly Cost: §Y$COST$§!
PER_MONTH	§Y$VAL$§! / Month	§Y$VAL$§! / Month
AIREASON_KINGDOMS_DONT_ACCEPT_VASSALAGE	I am a King!	I am a King!
ACCEPT	Accept	Accept
DECLINE	Decline	Decline
HAS_LESS_RAISED_TROOP_DAYS	Troops Raised less than §Y$DAYS$§! days\n	Troops Raised less than §Y$DAYS$§! days\n
HAS_MORE_RAISED_TROOP_DAYS	Troops Raised for at least §Y$DAYS$§! days\n	Troops Raised for at least §Y$DAYS$§! days\n
SET_RAISED_TROOP_OPINION	§Y$ACTIVE$'s§! raised levy opinion days vs §Y$PASSIVE$§! set to §Y$MUCH$§!.\n	§Y$ACTIVE$'s§! raised levy opinion days vs §Y$PASSIVE$§! set to §Y$MUCH$§!.\n
CONTESTED_TITLE	Contested title: $TITLE$	Contested title: $TITLE$
THREAT_REASON_HATRED	Low Opinion	Low Opinion
THREAT_REASON_LOVE	High Opinion	High Opinion
THREAT_REASON_CB	Casus Belli	Casus Belli
THREAT_REASON_PRETENDER	Pretender	Pretender
THREAT_REASON_CLAIMANT	Claimant	Claimant
THREAT_REASON_DISTANCE	Distance	Distance
THREAT_LIEGE_CULTURE	Same Culture	Same Culture
THREAT_LIEGE_RELIGION	Same Religion	Same Religion
