#CODE	ENGLISH	ENGLISH
d_nubia	Makuria	Makuria
d_nubia_adj	Makurian	Makurian
#d_hayya	Hayya	Hayya
#d_hayya_adj	Hayyan	Hayyan
#d_sennar	Sennar	Sennar
#d_sennar_adj	Sennari	Sennari
LIEGEPIETY_HEADER	[Player.Religion.GetPietyName] to Liege	[Player.Religion.GetPietyName] to Liege
#NO_LIEGEPIETY	This vassal is not giving any piety to you.\nSome buildings in temple holdings give piety to the holder's liege.	This vassal is not giving any piety to you.\nSome buildings in temple holdings give piety to the holder's liege.
major_river_crossing	Major River crossing	Major River crossing
realm_job_spiritual	Realm $TITLE$s	Realm $TITLE$s
job_spiritual_finnish_pagan	Diviner	Diviner
job_spiritual_finnish_pagan_reformed	Diviner	Diviner
job_spiritual_baltic_pagan	Diviner	Diviner
job_spiritual_baltic_pagan_reformed	Diviner	Diviner
job_spiritual_slavic_pagan	Diviner	Diviner
job_spiritual_slavic_pagan_reformed	Diviner	Diviner
job_spiritual_tengri_pagan	Diviner	Diviner
job_spiritual_tengri_pagan_reformed	Diviner	Diviner
job_spiritual_zoroastrian	Mobad	Mobad
nick_hardeknud	Hardeknud	Hardeknud
steppe	Steppe	Steppe
TOGGLE_LOOTER_FAIL_CHARALLOWED	 Owner Allowed to Loot	 Owner Allowed to Loot
TOGGLE_LOOTER_FAIL_INOWNLAND	 Unit is in friendly lands	 Unit is in friendly lands
TOGGLE_LOOTER_FAIL_MERC	 Unit has no Mercenary subunits	 Unit has no Mercenary subunits
TOGGLE_LOOTER_FAIL_ISATTACHED	 Unit is not attached to another Unit	 Unit is not attached to another Unit
TOGGLE_LOOTER_FAIL_HASATTACHED	 Unit does not have any attached Units	 Unit does not have any attached Units
INTERACTION_GRANT_GAVELKIND_EXPLOIT	As your primary heir under Gavelkind, §Y$NAME$§! cannot be granted §Y$TITLE$§!	As your primary heir under Gavelkind, §Y$NAME$§! cannot be granted §Y$TITLE$§!
ca_steppe_barracks_1	Steppe Warrior Lodge	Steppe Warrior Lodge
ca_steppe_barracks_2	Steppe Warrior Lodge	Steppe Warrior Lodge
ca_steppe_barracks_3	Steppe Warrior Lodge	Steppe Warrior Lodge
ca_steppe_barracks_4	Steppe Warrior Lodge	Steppe Warrior Lodge
ca_steppe_barracks_5	Steppe Warrior Lodge	Steppe Warrior Lodge
ca_steppe_barracks_6	Steppe Warrior Lodge	Steppe Warrior Lodge
ca_steppe_stable_1	Steppe Riding Grounds	Steppe Riding Grounds
ca_steppe_stable_2	Steppe Riding Grounds	Steppe Riding Grounds
ca_steppe_stable_3	Steppe Riding Grounds	Steppe Riding Grounds
ca_steppe_stable_4	Steppe Riding Grounds	Steppe Riding Grounds
ca_steppe_stable_5	Steppe Riding Grounds	Steppe Riding Grounds
ca_steppe_stable_6	Steppe Riding Grounds	Steppe Riding Grounds
CK2CoA3DLC	Dynasty Coat of Arms Pack 3	Dynasty Coat of Arms Pack 3
NorseUnitPackDLC	Norse Unit Pack	Norse Unit Pack
NorsePortraitsDLC	Norse Portraits	Norse Portraits
ca_steppe_barracks_desc	The people of the steppes focus on horse warfare at the expense of foot soldiers, but the fighting men trained at this warrior lodge are more than capable of holding their own in battle.	The people of the steppes focus on horse warfare at the expense of foot soldiers, but the fighting men trained at this warrior lodge are more than capable of holding their own in battle.
