#CODE	ENGLISH	ENGLISH
EVTOPTC72056	Some gold will keep the servants quiet.	Some gold will keep the servants quiet.
VASSAL_RAISE_OPINION_DESC	For every §Y$DAYS$§! days that a vassal levy is raised during an offensive non-Crusade war, the vassal will get a §R-1§! Opinion of you	For every §Y$DAYS$§! days that a vassal levy is raised during an offensive non-Crusade war, the vassal will get a §R-1§! Opinion of you
WAR_START_YEAR	Start year: $YEAR$	Start year: $YEAR$
WAR_START_YEAR_DESC	This war has lasted $YEARS$ years(s) and $MONTHS$ month(s)	This war has lasted $YEARS$ years(s) and $MONTHS$ month(s)
LEVY_PERC_DESC3	$THEM$ reserves §Y$PERC$%§! of each troop type as personal levy	$THEM$ reserves §Y$PERC$%§! of each troop type as personal levy
DYNFAIL_DESC	With a score of $SCORE$, you have not accomplished anything of note.	With a score of $SCORE$, you have not accomplished anything of note.
REVOKE_TITLE_INTERACTION_2B	Since we have a claim on it, our vassals will not object.	Since we have a claim on it, our vassals will not object.
REVOKE_TITLE_INTERACTION_2C	Thanks to the crown authority in the §Y$CROWN_TITLE$§!, our vassals cannot object.	Thanks to the crown authority in the §Y$CROWN_TITLE$§!, our vassals cannot object.
REVOKE_TITLE_INTERACTION_2D	Since §Y[Recipient.GetTitledFirstName]§! is a traitor, our vassals will not object.	Since §Y[Recipient.GetTitledFirstName]§! is a traitor, our vassals will not object.
REVOKE_TITLE_INTERACTION_2E	Since §Y[Recipient.GetTitledFirstName]§! is an infidel, only §Y[Recipient.Religion.GetName]§! vassals will object (§R$OPINION$§!).	Since §Y[Recipient.GetTitledFirstName]§! is a filthy §Y[Recipient.Religion.GetName]§!, our vassals will not object.
#VASSAL_OPINION_CHANGE	All vassals' opinion of §Y$ABOUT$§! changed by $MUCH$.\n	All vassals' opinion of §Y$ABOUT$§! changed by $MUCH$.\n
LOADING_TIP_28	Buy a Papal Indulgence to gain more Piety.	Buy a Papal Indulgence to gain more Piety.
#LOADING_TIP_49	A 'demesne' is the collection of Castles, Cities and Temples held by one person.	A 'demesne' is the collection of Castles, Cities and Temples held by one person.
mission_holy_war_desc	The $ROOT_CHARACTERTITLE$has called for a $CRUSADE_NAME$ to take §Y$PROVINCE$§! from the §Y$TOPOWNERFULLNAME$§W!	The $ROOT_CHARACTERTITLE$has called for a $CRUSADE_NAME$ to take §Y$PROVINCE$§! from the §Y$TOPOWNERFULLNAME$§W!
TOO_MANY_HELD_DUCHIES	Too Many Held Duchies	Too Many Held Duchies
opinion_failed_plot	Failed Plot	Failed Plot
e_il-khanate_adj	Mongol	Mongol
AIREASON_WILL_NOT_PLOT_AGAINST_OFFSPRING	Will not Plot against Offspring.	Will not Plot against Offspring.
AIREASON_CLAIM_ON_MY_TITLES	§Y[GetBestName]§! has claims on my titles.	§Y[GetBestName]§! has claims on my titles.
AIREASON_HOSTAGE_SITUATION	Child would be a hostage in a foreign power	Child would be a hostage in a foreign power
ASK_TO_LIFT_EXCOMMUNICATION_INTERACTION_0	Ask §Y[Actor.RelHead.GetTitledFirstName]§W to lift the excommunication of §Y[ThirdPartyCharacter.GetBestName]§W. This will cost you §R$COST$§W Piety.	Ask §Y[Actor.RelHead.GetTitledFirstName]§W to lift the excommunication of §Y[ThirdPartyCharacter.GetBestName]§W. This will cost you §R$COST$§W Piety.
ASK_FOR_DIVORCE_INTERACTION_0	Ask §Y[Actor.RelHead.GetTitledFirstName]§W for a divorce from §Y[Actor.Spouse.GetFirstName]§W. This will cost you §R$COST$§W [Player.Religion.GetPietyName] and, if granted, will be viewed as an insult by [Actor.Spouse.GetPossPronoun] relatives.	Ask §Y[Actor.RelHead.GetTitledFirstName]§W for a divorce from §Y[Actor.Spouse.GetFirstName]§W. This will cost you §R$COST$§W [Player.Religion.GetPietyName] and, if granted, will be viewed as an insult by [Actor.Spouse.GetPossPronoun] relatives.
#EVTNAME620	Successful [New.Religion.GetCrusadeName] for [Root.GetName]!	Successful [New.Religion.GetCrusadeName] for [Root.GetName]!
#EVTDESC620	[New.Religion.GetRandomGodNameCap] has granted [From.GetTitledName] victory in the [New.Religion.GetCrusadeName] for [Root.GetName]. [New.GetTitledName] has called for a month of celebration across the whole [New.Religion.GetGroupName] world!	[New.Religion.GetRandomGodNameCap] has granted [From.GetTitledName] victory in the [New.Religion.GetCrusadeName] for [Root.GetName]. [New.GetTitledName] has called for a month of celebration across the whole [New.Religion.GetGroupName] world!
#EVTOPTA620	Praise [New.Religion.GetRandomGodName]!	Praise [New.Religion.GetRandomGodName]!
EVTOPTB620	Cursed Infidels!	Cursed Infidels!
#EVTNAME621	The [New.Religion.GetCrusadeName] for [Root.GetName] Fails!	The [New.Religion.GetCrusadeName] for [Root.GetName] Fails!
#EVTDESC621	[New.Religion.GetRandomGodNameCap], it seems, does not favour the [New.Religion.GetGroupName] faithful. [New.GetTitledName] has called off the [New.Religion.GetCrusadeName] for [Root.GetName] due to the altered political situation in the region...	[New.Religion.GetRandomGodNameCap], it seems, does not favour the [New.Religion.GetGroupName] faithful. [New.GetTitledName] has called off the [New.Religion.GetCrusadeName] for [Root.GetName] due to the altered political situation in the region...
EVTOPTA621	A Black Day!	A Black Day!
EVTOPTB621	Pathetic...	Pathetic...
WARSCORE_LESS_THAN	Has a war with a score worse than 	Has a war with a score worse than 
WARSCORE_MORE_THAN	Has a war with a score better than 	Has a war with a score better than 
#BONUS_AGAINST_ENEMY	Attack bonus against enemy flank: $PERC$	Attack bonus against enemy flank: $PERC$
TACTICAL_ADVANTAGE	Bonus against §Y$TACTIC$§!: $PERC$	Bonus against §Y$TACTIC$§!: $PERC$
LEADER_MARTIAL_SKILL	Martial skill of §Y$WHO$§!: $PERC$	Martial skill of §Y$WHO$§!: $PERC$
FLANKING_BONUS	Flanking: $PERC$	Flanking: $PERC$
AI_REJECT_STILL_A_NO	I still won't accept your proposal	I still won't accept your proposal
PLAYER_SUCCESSOR_CHANGED_LOG	You have a new Heir. If your character dies now you will play as §Y$NEW_SUCCESSOR$§!	You have a new Heir. If your character dies now you will play as §Y$NEW_SUCCESSOR$§!
TOPLIEGE_TROOPS_TOTAL	Total Levy of Top liege: §Y$TROOPS$§!	Total Levy of Top liege: §Y$TROOPS$§!
TOPLIEGE_TROOPS_CURRENT	Current Levy of Top liege: §Y$TROOPS$§!	Current Levy of Top liege: §Y$TROOPS$§!
OWN_TROOPS_TOTAL	Total Levy of $CHAR$: §Y$TROOPS$§!	Total Levy of $CHAR$: §Y$TROOPS$§!
OWN_TROOPS_CURRENT	Current Levy of $CHAR$: §Y$TROOPS$§!	Current Levy of $CHAR$: §Y$TROOPS$§!
RELATIVE_STRENGTH	Relative Strength: §Y$STRENGTH$§!	Relative Strength: §Y$STRENGTH$§!
CURRENT_RELATIVE_STRENGTH	Current Relative Strength: §Y$STRENGTH$§!	Current Relative Strength: §Y$STRENGTH$§!
VASSAL_HOLDINGS	Vassal Holdings: §Y$HOLDINGS$§!	Vassal Holdings: §Y$HOLDINGS$§!
LOADING_LOCAL_SAVE	Loading local save...	Loading local save...
CB_NAME_DEPOSE_LIEGE	Depose liege	Depose liege
WAR_NAME_DEPOSE_LIEGE	$ORDER$$FIRST_ADJ$ War to depose $DEFENDER$	$ORDER$$FIRST_ADJ$ War to depose $DEFENDER$
depose_liege_desc	§Y$CLAIMANT$§! can attempt to depose §Y$TARGET$§! and install §Y$CLAIMANT$§!'s favorite heir	§Y$CLAIMANT$§! can attempt to depose §Y$TARGET$§! and install §Y$CLAIMANT$§!'s favorite heir
issue_declaration_of_repentance	Issue Declaration of Repentance	Issue Declaration of Repentance
issue_declaration_of_repentance_desc	Send a letter to the Pope in the hope of getting our sins forgiven and have our excommunication lifted.	Send a letter to the Pope in the hope of getting our sins forgiven and have our excommunication lifted.
repentance_ask	The Holy Father will hear our plea for salvation.	The Holy Father will hear our plea for salvation.
made_repentance	Made Repentance	Made Repentance
