#CODE	ENGLISH	ENGLISH
LEDGER_SORT_DELAYED	§GClick to sort using this column§W	§GClick to sort using this column§W
show_true_humility	Showed his true Humility	Showed his true humility
shown_true_humility	Likes our Humility	Likes our humility
talent_recognized	Recognizes my talent	Recognizes my talent
slothful_ruler	Slothful Ruler	Envies honesty given
nick_the_lisp_and_lame	the Lisp and Lame	Slothful Ruler
ANY_WARD_STARTS	Any ward	the Lisp and Lame
TITLE_CANNOT_USURP_BEFORE	Cannot usurp this title before §Y$DATE$§!	Any ward
fair	Attractive	Cannot usurp this title before §Y$DATE$§!
c_grassland_cheremisa_adj	Kerzhenetsian	Attractive
c_mountain_cheremisa_adj	Cheremisan	Kerzhenetsian
PROV589	Kerzhenets	Cheremisan
PROV591	Cheremisa	Kerzhenets
black_honor	Breaking Feudal Obligations	Cheremisa
EVTOPTF40020	Expose the assassins employer!	Breaking Feudal Obligations
EVTTOOLTIP40026	will be exposed as an employer of assassins.	Expose the assassins employer!
EVTDESC40026	Not only did our assassin get discovered, he also managed to implicate that we were behind it.  Now [From.GetBestName] is showing proofs to everyone in the [Root.PrimaryTitle.GetFullName] that we have broken our feudal contract with a vassal.	will be exposed as an employer of assassins.
EVTOPTA40026	This is bad news...	Not only did our assassin get discovered, he also managed to implicate that we were behind it.  Now [From.GetBestName] is showing proofs to everyone in the [Root.PrimaryTitle.GetFullName] that we have broken our feudal contract with a vassal.
deceitful_martial	Appearing Martial	This is bad news...
deceitful_stewardship	Faking Stewardship	Appearing Martial
deceitful_diplomacy	Appearing Diplomatic	Faking Stewardship
deceitful_learning	Faking Learning	Appearing Diplomatic
EVTDESC3260	I am not the most martial of rulers and sometimes it appears as if I am almost incompetent when it comes to behaving like a knight. Luckily, I know how to manipulate people...	Faking Learning
EVTOPTA3260	Talk the talk and Talk the talk..	I am not the most martial of rulers and sometimes it appears as if I am almost incompetent when it comes to behaving like a knight. Luckily, I know how to manipulate people...
EVTOPTB3260	Let [Root.job_marshal.GetTitledFirstName] get the blame.	Talk the talk and Talk the talk..
EVTDESC3261	I simply can not keep up with handling the day to day business of my demesne. I rely on others, but manipulate them to believe that I am doing the harder things.	Let [Root.job_marshal.GetTitledFirstName] get the blame.
EVTOPTA3261	Talk the talk and Talk the talk..	I simply can not keep up with handling the day to day business of my demesne. I rely on others, but manipulate them to believe that I am doing the harder things.
EVTOPTB3261	Let [Root.job_treasurer.GetTitledFirstName] get the hard work.	Talk the talk and Talk the talk..
EVTDESC3262	Sometimes the niceties of diplomacy pass me by and puts me in awkward positions. However, by careful manipulation of my court, I've managed to let my courtiers take the blame when things go bad.	Let [Root.job_treasurer.GetTitledFirstName] get the hard work.
EVTOPTA3262	They serve me after all..	Sometimes the niceties of diplomacy pass me by and puts me in awkward positions. However, by careful manipulation of my court, I've managed to let my courtiers take the blame when things go bad.
EVTOPTB3262	Let [Root.job_chancellor.GetTitledFirstName] get the blame.	They serve me after all..
EVTDESC3263	I am not a bookish person and if it weren't for some careful comments in some discussions this would become obvious to my court.	Let [Root.job_chancellor.GetTitledFirstName] get the blame.
EVTOPTA3263	Talk the talk and Talk the talk..	I am not a bookish person and if it weren't for some careful comments in some discussions this would become obvious to my court.
